time,base_x,base_y,base_z,base_qw,base_qx,base_qy,base_qz,joint1,joint2,joint3,joint4,joint5,joint6
0.21,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.5852709877299233,-1.1116021500462914,0.5248678677159525,0.0,0.0
0.22,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.6142131617523172,-1.1754734888888552,0.5599630209922635,0.0,0.0
0.23,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.6438436884459077,-1.2411789067622052,0.596199339971342,0.0,0.0
0.24,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.6742726889018272,-1.3089766873866946,0.6337254273338463,0.0,0.0
0.25,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.7056243032211778,-1.3791585667122757,0.6727081546139446,0.0,0.0
0.26,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.7380479022405428,-1.4520807410654912,0.7133530559101409,0.0,0.0
0.27,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.7717243260471339,-1.5281036867606703,0.7559142983471322,0.0,0.0
0.28,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.8068503745507609,-1.6070899031859236,0.8006775211549166,0.0,0.0
0.29,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.8437206721643862,-1.6901213104851702,0.8480756551826317,0.0,0.0
0.3,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,0.0,0.8827285686887485,-1.778230650169803,0.8986860571646512,0.0,0.0
0.31,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.0540732738443336,0.8868462496895618,-1.7910728274601777,0.9053337451126137,0.05393430470338055,-0.00016927138217801702
0.32,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.1624228471498217,0.8881156659995548,-1.8006576282693592,0.9128609410104802,0.16221824913050648,-9.298716942226397e-05
0.33,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.2675850868989431,0.886702717343513,-1.8067488143490094,0.9201325169780227,0.26733502338515397,-3.963970623552643e-05
0.34,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.3677519881888538,0.8843211111116644,-1.8135716332975125,0.9291044685638905,0.3674652907280925,3.807764287565777e-05
0.35,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.46138960371900567,0.8813005062939764,-1.821580523826186,0.9398844340124848,0.4610779938896383,0.0001608247780108057
0.36,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.5173896037190057,0.8787199918662668,-1.82795485653086,0.9485591902249542,0.5170779938896384,0.0003056304144992112
0.37,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.6125793910273865,0.8741772432870888,-1.8403914822146727,0.9652553980249416,0.6121797910728239,0.0005336127065598279
0.38,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.6678451331402562,0.8709694206974721,-1.8487211343611607,0.976479706224452,0.667304130366597,0.0007520400250543829
0.39,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.7238451331402562,0.8670119867837403,-1.8595612985021353,0.9909101562054498,0.723304130366597,0.0010415727034795176
0.4,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.7798451331402563,0.8628050731570779,-1.8720723026263575,1.0072682629991456,0.7793041303665971,0.0013568930996088104
0.41,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8339861449338059,0.857698353702283,-1.8843407622290853,1.024046450986995,0.8333005554000239,0.0018577611259851788
0.42,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8835041640235313,0.8523040752029618,-1.8972696356650731,1.0416402084049659,0.882780751550872,0.0024938822859909403
0.43,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.9280759601253241,0.8469032542247882,-1.9111375416333454,1.0601024656466307,0.9273574651311296,0.0032242290786667228
0.44,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.9680195544706627,0.8416377918273306,-1.9260356680873805,1.0794111439165763,0.9673229797607191,0.004021046542782229
0.45,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.003837604209544,0.8365937282138071,-1.9420033542392452,1.0995352920262418,1.003169029998881,0.004866084598049375
0.46,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.0360426270548273,0.8318341890109828,-1.9590701462021325,1.1204508076232458,1.0354033378268908,0.0057469827122918855
0.47,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.0650994282924684,0.8274125001440098,-1.9772684729044707,1.1421429814946154,1.064488581569042,0.0066550078699401955
